iter	RMSE
0	14.18545868
1	13.27934193
2	12.43313867
3	11.64936097
4	11.00417983
5	10.42290962
6	9.869631589
7	9.448899284
8	8.993027697
9	8.55694245
10	8.16618882
11	7.862927101
12	7.597492961
13	7.339465984
14	7.09511346
15	6.871599494
16	6.73021442
17	6.57047115
18	6.42532899
19	6.296600283
20	6.182457674
21	6.094869313
22	6.017708533
23	5.918851644
24	5.841640527
25	5.771324753
26	5.706032312
27	5.650033955
28	5.592438671
29	5.542289772
30	5.507369814
31	5.47097549
32	5.431464358
33	5.393106571
34	5.359011148
35	5.328922604
36	5.303482765
37	5.269023914
38	5.235024974
39	5.213124477
40	5.189376501
41	5.172677261
42	5.149757961
43	5.135383094
44	5.121424214
45	5.110684216
46	5.09809693
47	5.067606569
48	5.058121266
49	5.038958092
50	5.029488945
51	5.017259782
52	5.004408569
53	4.996094724
54	4.980080058
55	4.967006407
56	4.957591232
57	4.944258565
58	4.934268294
59	4.921948776
60	4.905214481
61	4.90006114
62	4.894485437
63	4.887080708
64	4.875793329
65	4.869152926
66	4.855438124
67	4.839103018
68	4.824459594
69	4.817280995
70	4.811109396
71	4.804274304
72	4.796083294
73	4.790618795
74	4.782723696
75	4.770192125
76	4.764897006
77	4.761320698
78	4.752426108
79	4.74584179
80	4.73826189
81	4.732930743
82	4.718164392
83	4.714694146
84	4.707134653
85	4.702928496
86	4.691214783
87	4.685221928
88	4.680746211
89	4.675679755
90	4.659263499
91	4.641742348
92	4.632854695
93	4.629620758
94	4.621485329
95	4.61385587
96	4.603198407
97	4.589342105
98	4.5836338
99	4.57447157
