iter	Passed	Remaining
0	0	74
1	1	74
2	2	71
3	2	68
4	3	64
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	57
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	63	0
